"","date","location","rainfall","temp_mean","temp_min","temp_max"
"273",2018-05-18,"WIH1",1.02,17.6993617021277,11.56,25
"274",2018-05-19,"ARH2",28.96,24.12625,22.89,26.22
"275",2018-05-19,"GAH2",0,23.4235416666667,17.94,30.11
"276",2018-05-19,"IAH1",4.06,21.0208333333333,13.5,27.22
"277",2018-05-19,"IAH2",1.27,17.2116666666667,14.72,20.61
"278",2018-05-19,"IAH3",239,19.6825,12.17,28.89
"279",2018-05-19,"IAH4",0,18.9633333333333,15.61,24.39
"280",2018-05-19,"ILH1",0,23.1329166666667,17.78,29.39
"281",2018-05-19,"INH1",0,19.889375,15.06,26.44
"282",2018-05-19,"MOH1",12.45,19.3891666666667,15.11,23.94
"283",2018-05-19,"NCH1",0,21.869375,21.22,23.5
"284",2018-05-19,"NEH2",2.29,15.9818309859155,13,19.61
"285",2018-05-19,"NYH2",0,19.1216666666667,18.5,20.17
"286",2018-05-19,"NYH3",0,18.9383333333333,18.28,20
"287",2018-05-19,"OHH1",0,20.6122916666667,17.72,25.39
"288",2018-05-19,"TXH1",5.59,27.64875,23.28,33.28
"289",2018-05-19,"TXH2",2.29,24.29875,18.28,31.72
"290",2018-05-19,"WIH1",0.51,17.6147916666667,13.06,24.11
"291",2018-05-19,"WIH2",0,17.8185915492958,13,25.5
"292",2018-05-20,"ARH2",3.56,23.6212765957447,21.89,26.22
"293",2018-05-20,"GAH2",0,23.4883333333333,18.94,30.5
"294",2018-05-20,"IAH1",1.27,19.3408333333333,16.39,22.17
"295",2018-05-20,"IAH2",0,13.4464583333333,10.78,16.06
"296",2018-05-20,"IAH3",210,14.9627083333333,13.22,17.94
"297",2018-05-20,"IAH4",7.11,15.1016666666667,13.89,16.11
"298",2018-05-20,"ILH1",1.02,20.88875,16.11,26.72
"299",2018-05-20,"INH1",0,18.7572916666667,15.5,22.33
"300",2018-05-20,"MOH1",0,19.9129166666667,15.44,26.94
"301",2018-05-20,"NCH1",0,23.91375,20.89,28.56
"302",2018-05-20,"NEH2",0.25,13.33625,12.72,14.11
"303",2018-05-20,"NYH2",1.02,19.3914583333333,19.17,19.61
"304",2018-05-20,"NYH3",0.76,19.3066666666667,19.06,19.61
"305",2018-05-20,"OHH1",11.938,21.625,17.89,27.78
"306",2018-05-20,"TXH1",8.13,23.54625,20,28.28
"307",2018-05-20,"TXH2",0,17.2439130434783,13.89,21.72
"308",2018-05-20,"WIH1",0.25,11.3525,8.22,15
"309",2018-05-20,"WIH2",8.13,11.5515492957746,8,15.78
"310",2018-05-21,"ARH2",1.27,23.7345833333333,22.33,25.33
"311",2018-05-21,"GAH2",3.81,24.0191666666667,18.33,30.39
"312",2018-05-21,"IAH1",0,17.4625,13.39,23.5
"313",2018-05-21,"IAH2",0.25,16.1927659574468,13.22,21.61
"314",2018-05-21,"IAH3",826,14.4629166666667,12.11,17.11
"315",2018-05-21,"IAH4",0,18.7228571428571,13.89,23.83
"316",2018-05-21,"ILH1",0,20.4466666666667,15.61,25
"317",2018-05-21,"INH1",0,20.0395833333333,14.83,25.94
"318",2018-05-21,"MOH1",0,20.4939583333333,17.5,25.22
"319",2018-05-21,"NCH1",2.54,24.9329166666667,20.83,29.5
"320",2018-05-21,"NEH2",0.51,17.8145833333333,12.61,25.5
"321",2018-05-21,"NYH2",0.25,19.4075,15.56,23
"322",2018-05-21,"NYH3",2.79,19.466875,15.44,23
"323",2018-05-21,"OHH1",0,21.1341666666667,15.39,28.22
"324",2018-05-21,"TXH1",0,22.9908,19.39,29.39
"325",2018-05-21,"TXH2",0.03,19.8633333333333,13.89,26.72
"326",2018-05-21,"WIH1",0.25,12.1527083333333,10.17,14.78
"327",2018-05-21,"WIH2",0.51,11.5802816901408,9,14
"328",2018-05-22,"ARH2",0.25,25.6029545454545,22.94,28.56
"329",2018-05-22,"GAH2",1.02,23.425,18.72,31.44
"330",2018-05-22,"IAH1",0,19.3764583333333,12.39,27.06
"331",2018-05-22,"IAH2",0,19.7672916666667,12.28,26.28
"332",2018-05-22,"IAH3",954,19.0795833333333,12,25.83
"333",2018-05-22,"IAH4",0,20.0954166666667,13.06,26.78
"334",2018-05-22,"ILH1",0,23.0633333333333,17.78,29.39
"335",2018-05-22,"MOH1",0,21.7827083333333,14.5,28.33
"336",2018-05-22,"NCH1",0,23.8808333333333,20.06,30.06
"337",2018-05-22,"NEH2",0,22.1238888888889,14.61,31.5
"338",2018-05-22,"NYH2",0,16.8872916666667,14.06,21.72
"339",2018-05-22,"NYH3",0,16.8702083333333,14.06,21.89
"340",2018-05-22,"OHH1",0.254,21.8254166666667,18.56,27.61
"341",2018-05-22,"TXH1",0,24.75,20,30
"342",2018-05-22,"TXH2",0.04,23.0858333333333,16.11,29.67
"343",2018-05-22,"WIH1",0.25,14.606875,10.89,19.39
"344",2018-05-22,"WIH2",0,13.9850704225352,10.5,19
"345",2018-05-23,"ARH2",0,26.0997916666667,24,28.39
"346",2018-05-23,"GAH2",0.25,22.6522916666667,19.83,28.5
"347",2018-05-23,"IAH1",0,22.8747916666667,15.44,30.17
"348",2018-05-23,"IAH2",0,24.5222916666667,17.11,31.44
"349",2018-05-23,"IAH3",862,22.5054166666667,16.61,29.5
"350",2018-05-23,"IAH4",0,24.1091666666667,17.5,31.06
"351",2018-05-23,"ILH1",0,21.7754166666667,13.89,29.39
"352",2018-05-23,"MOH1",0,24.240625,18.56,29.94
"353",2018-05-23,"NCH1",0,24.9402083333333,20.28,30.72
"354",2018-05-23,"NEH2",0,25.9688888888889,16.89,33.72
"355",2018-05-23,"NYH2",0,17.93625,13.28,24.39
"356",2018-05-23,"NYH3",0,17.8795833333333,13.28,24.28
"357",2018-05-23,"OHH1",0,19.675625,15.28,24.89
"358",2018-05-23,"TXH1",0,25.2545833333333,21.11,30.61
"359",2018-05-23,"TXH2",0,23.5516666666667,17.11,30.39
"360",2018-05-23,"WIH1",0.25,19.0387234042553,11,26.11
"361",2018-05-23,"WIH2",0.76,18.5364788732394,9.61,26
"362",2018-05-24,"ARH2",0,25.98375,24.06,28.28
"363",2018-05-24,"GAH2",11.94,23.6989583333333,20.61,30.39
"364",2018-05-24,"IAH1",0,24.9910416666667,16.83,31.61
"365",2018-05-24,"IAH2",0,25.6935416666667,19.17,31.72
"366",2018-05-24,"IAH3",859,24.6608333333333,16.83,31.61
"367",2018-05-24,"IAH4",8.64,25.816875,18.28,32.28
"368",2018-05-24,"ILH1",9.4,23.69625,15.61,31.11
"369",2018-05-24,"MNH1",1.02,25.25,20,32
"370",2018-05-24,"MOH1",1.52,24.306875,18.06,29.94
"371",2018-05-24,"NCH1",0,24.6466666666667,20.5,29.44
"372",2018-05-24,"NEH2",0,26.1634722222222,20,33.61
"373",2018-05-24,"NYH2",0,18.5635416666667,9.56,26.61
"374",2018-05-24,"NYH3",0,18.50875,9.78,26.44
"375",2018-05-24,"OHH1",4.572,20.65,12.83,27.22
"376",2018-05-24,"TXH1",0,26.555,22.22,32.22
"377",2018-05-24,"TXH2",0,24.1904166666667,15.39,34.17
"378",2018-05-24,"WIH1",0,23.1585416666667,16,30
"379",2018-05-24,"WIH2",0,22.6615384615385,16.11,30.33
"380",2018-05-25,"ARH2",0,26.0639583333333,24.17,28.17
"381",2018-05-25,"GAH2",0.25,22.5341666666667,21.28,26.28
"382",2018-05-25,"IAH1",7.62,24.6495833333333,19.61,29.72
"383",2018-05-25,"IAH2",0,26.840625,19.44,34.28
"384",2018-05-25,"IAH3",969,24.9675,20.11,29.94
"385",2018-05-25,"IAH4",0,25.06125,18.39,32.89
"386",2018-05-25,"ILH1",0.76,25.2566666666667,17.78,33.28
"387",2018-05-25,"INH1",0.25,29.9888461538462,25.61,32.83
"388",2018-05-25,"MNH1",0,23.5833333333333,17,32
"389",2018-05-25,"MOH1",0,22.893125,19.78,27.56
"390",2018-05-25,"NCH1",0,24.51875,19.56,30.33
"391",2018-05-25,"NEH2",0,27.4413888888889,18.11,37.5
"392",2018-05-25,"NYH1",0,22.7775,14.39,27.22
"393",2018-05-25,"NYH2",0,21.5804166666667,12.11,29.17
"394",2018-05-25,"NYH3",0,21.5472916666667,11.83,28.83
"395",2018-05-25,"OHH1",0,22.0935416666667,11.89,31.06
"396",2018-05-25,"TXH1",0,26.9695833333333,22.22,32.22
"397",2018-05-25,"TXH2",0,28.4833333333333,18.11,39.22
"398",2018-05-25,"WIH1",0,24.5091666666667,19.06,29.61
"399",2018-05-25,"WIH2",0,23.9379166666667,15.33,30.06
"400",2018-05-26,"ARH2",0,27.1891666666667,23.94,31.56
"401",2018-05-26,"GAH2",0.76,24.17375,20.39,29.56
"402",2018-05-26,"IAH1",0,25.5039583333333,17.78,33.28
"403",2018-05-26,"IAH2",0,28.624375,18.33,36.78
"404",2018-05-26,"IAH3",951,25.104375,17.5,32.83
"405",2018-05-26,"IAH4",0,27.2252083333333,19.06,35.5
"406",2018-05-26,"ILH1",0,25.2175,20,31.11
"407",2018-05-26,"INH1",0,24.7002083333333,19.89,31.72
"408",2018-05-26,"MNH1",0,24.6901408450704,15,34
"409",2018-05-26,"MOH1",0,25.7925,19.11,32.67
"410",2018-05-26,"NCH1",0,24.5995833333333,20.5,31.44
"411",2018-05-26,"NEH2",0,28.0612857142857,16.78,37.89
"412",2018-05-26,"NYH1",1.02,23.466,18.28,26.72
"413",2018-05-26,"NYH2",0.25,23.6552083333333,17.06,28.28
"414",2018-05-26,"NYH3",0.25,23.5170833333333,17.22,27.89
"415",2018-05-26,"OHH1",0,22.2239583333333,16.94,29.61
