date,location,rainfall,temp_mean,temp_min,temp_max
2018-05-22,ARH2,0.25,25.6029545454545,22.94,28.56
2018-05-22,GAH2,1.02,23.425,18.72,31.44
2018-05-22,IAH1,0,19.3764583333333,12.39,27.06
2018-05-22,IAH2,0,19.7672916666667,12.28,26.28
2018-05-22,IAH3,954,19.0795833333333,12,25.83
2018-05-22,IAH4,0,20.0954166666667,13.06,26.78
2018-05-22,ILH1,0,23.0633333333333,17.78,29.39
2018-05-22,MOH1,0,21.7827083333333,14.5,28.33
2018-05-22,NCH1,0,23.8808333333333,20.06,30.06
2018-05-22,NEH2,0,22.1238888888889,14.61,31.5
2018-05-22,NYH2,0,16.8872916666667,14.06,21.72
2018-05-22,NYH3,0,16.8702083333333,14.06,21.89
2018-05-22,OHH1,0.254,21.8254166666667,18.56,27.61
2018-05-22,TXH1,0,24.75,20,30
2018-05-22,TXH2,0.04,23.0858333333333,16.11,29.67
2018-05-22,WIH1,0.25,14.606875,10.89,19.39
2018-05-22,WIH2,0,13.9850704225352,10.5,19
2018-05-23,ARH2,0,26.0997916666667,24,28.39
2018-05-23,GAH2,0.25,22.6522916666667,19.83,28.5
2018-05-23,IAH1,0,22.8747916666667,15.44,30.17
2018-05-23,IAH2,0,24.5222916666667,17.11,31.44
2018-05-23,IAH3,862,22.5054166666667,16.61,29.5
2018-05-23,IAH4,0,24.1091666666667,17.5,31.06
2018-05-23,ILH1,0,21.7754166666667,13.89,29.39
2018-05-23,MOH1,0,24.240625,18.56,29.94
2018-05-23,NCH1,0,24.9402083333333,20.28,30.72
2018-05-23,NEH2,0,25.9688888888889,16.89,33.72
2018-05-23,NYH2,0,17.93625,13.28,24.39
2018-05-23,NYH3,0,17.8795833333333,13.28,24.28
2018-05-23,OHH1,0,19.675625,15.28,24.89
2018-05-23,TXH1,0,25.2545833333333,21.11,30.61
2018-05-23,TXH2,0,23.5516666666667,17.11,30.39
2018-05-23,WIH1,0.25,19.0387234042553,11,26.11
2018-05-23,WIH2,0.76,18.5364788732394,9.61,26
2018-05-24,ARH2,0,25.98375,24.06,28.28
2018-05-24,GAH2,11.94,23.6989583333333,20.61,30.39
2018-05-24,IAH1,0,24.9910416666667,16.83,31.61
2018-05-24,IAH2,0,25.6935416666667,19.17,31.72
2018-05-24,IAH3,859,24.6608333333333,16.83,31.61
2018-05-24,IAH4,8.64,25.816875,18.28,32.28
2018-05-24,ILH1,9.4,23.69625,15.61,31.11
2018-05-24,MNH1,1.02,25.25,20,32
2018-05-24,MOH1,1.52,24.306875,18.06,29.94
2018-05-24,NCH1,0,24.6466666666667,20.5,29.44
2018-05-24,NEH2,0,26.1634722222222,20,33.61
2018-05-24,NYH2,0,18.5635416666667,9.56,26.61
2018-05-24,NYH3,0,18.50875,9.78,26.44
2018-05-24,OHH1,4.572,20.65,12.83,27.22
2018-05-24,TXH1,0,26.555,22.22,32.22
2018-05-24,TXH2,0,24.1904166666667,15.39,34.17
2018-05-24,WIH1,0,23.1585416666667,16,30
2018-05-24,WIH2,0,22.6615384615385,16.11,30.33
2018-05-25,ARH2,0,26.0639583333333,24.17,28.17
2018-05-25,GAH2,0.25,22.5341666666667,21.28,26.28
2018-05-25,IAH1,7.62,24.6495833333333,19.61,29.72
2018-05-25,IAH2,0,26.840625,19.44,34.28
2018-05-25,IAH3,969,24.9675,20.11,29.94
2018-05-25,IAH4,0,25.06125,18.39,32.89
2018-05-25,ILH1,0.76,25.2566666666667,17.78,33.28
2018-05-25,INH1,0.25,29.9888461538462,25.61,32.83
2018-05-25,MNH1,0,23.5833333333333,17,32
2018-05-25,MOH1,0,22.893125,19.78,27.56
2018-05-25,NCH1,0,24.51875,19.56,30.33
2018-05-25,NEH2,0,27.4413888888889,18.11,37.5
2018-05-25,NYH1,0,22.7775,14.39,27.22
2018-05-25,NYH2,0,21.5804166666667,12.11,29.17
2018-05-25,NYH3,0,21.5472916666667,11.83,28.83
2018-05-25,OHH1,0,22.0935416666667,11.89,31.06
2018-05-25,TXH1,0,26.9695833333333,22.22,32.22
2018-05-25,TXH2,0,28.4833333333333,18.11,39.22
2018-05-25,WIH1,0,24.5091666666667,19.06,29.61
2018-05-25,WIH2,0,23.9379166666667,15.33,30.06
2018-05-26,ARH2,0,27.1891666666667,23.94,31.56
2018-05-26,GAH2,0.76,24.17375,20.39,29.56
