year2014 year2015 year2016 year2017 year2018 year2019
-0.08945211 -0.4013255 -0.4600423 0.2771934 0.3427487 0.3012913
-0.07990138 -0.3987386 -0.4358335 0.2910099 0.3550565 0.313177
-0.1367555 -0.4459277 -0.4275038 0.2782208 0.3349014 0.3090444
-0.09306635 -0.4545769 -0.4368551 0.2410293 0.3372977 0.2676759
-0.05664673 -0.4355348 -0.4276945 0.2422894 0.3455672 0.2443828
-0.05918296 -0.5031544 -0.4476491 0.2420651 0.3843447 0.2422548
-0.05985776 -0.5429424 -0.4923007 0.2216089 0.3764451 0.239754
0.01067927 -0.5536382 -0.537479 0.246645 0.3659981 0.2582752
0.01699963 -0.5666462 -0.5576239 0.2822169 0.3396556 0.2670851
0.02151205 -0.4963504 -0.5370242 0.2683466 0.3526412 0.289244
0.0494461 -0.5090262 -0.5634677 0.2435709 0.3493806 0.2634936
0.07132816 -0.5356181 -0.5089261 0.2576582 0.3722274 0.2627361
0.135258 -0.5299279 -0.5475176 0.2477088 0.3874644 0.2772977
0.09430475 -0.498231 -0.5455845 0.2924796 0.3876631 0.2958302
0.07320287 -0.5052194 -0.5544685 0.2693623 0.3800189 0.2943785
